name	kind	location
from_dict	func	core/model_persistence.py:304
from_dict	func	core/omr.py:556
from_ini	func	core/sql_client.py:68
from_sql	func	utils/config_dict.py:151
from_sql_dict	func	core/rul_engine.py:383
from_yaml	func	utils/config_dict.py:50
fuse	func	core/fuse.py:546
Fuser	class	core/fuse.py:527
generate_all_analytics_tables	func	core/output_manager.py:1965
generate_default_charts	func	core/output_manager.py:2459
get	func	utils/config_dict.py:421
get_cached_table	func	core/output_manager.py:1464
get_cluster_centers	func	core/model_persistence.py:308
get_converted_tools	async_fn	tools/mcp-grafana/tests/utils.py:130
get_diagnostics	func	core/omr.py:526
get_equipment_config	func	utils/sql_config.py:24
get_equipment_mapping	func	scripts/sql/populate_acm_config.py:88
get_first_loki_datasource	func	tools/mcp-grafana/tests/loki_test.py:94
get_health_stats	func	scripts/monitor_adaptive_thresholds.py:52
get_last_forecast_horizon	func	core/model_persistence.py:107
get_latest_version	func	core/model_persistence.py:537
get_next_version	func	core/model_persistence.py:568
get_pca_params	func	core/model_persistence.py:327
get_performance_report	func	core/sql_performance.py:211
get_report	func	core/sql_performance.py:43
get_run_data	func	core/simplified_output_manager.py:377
get_scaler_params	func	core/model_persistence.py:317
get_sql_table_counts	func	scripts/validate_sql_only_mode.py:67
get_stats	func	core/output_manager.py:1930
get_stats	func	core/simplified_output_manager.py:384
get_tag_last_value	func	core/historian.py:222
get_threshold_stats	func	scripts/monitor_adaptive_thresholds.py:26
get_top_contributors	func	core/omr.py:501
get_version_path	func	core/model_persistence.py:573
GMMDetector	class	core/outliers.py:114
goertzel_energy	func	core/fast_features.py:852
grafana_env	func	tools/mcp-grafana/tests/conftest.py:49
grafana_env	func	tools/mcp-grafana/tests/disable_write_test.py:10
grafana_headers	func	tools/mcp-grafana/tests/conftest.py:71
grafana_team	async_fn	tools/mcp-grafana/tests/admin_test.py:25
Heartbeat	class	utils/logger.py:363
HistorianClient	class	core/historian.py:23
identify_fused_z_spike_failures	func	scripts/evaluate_rul_backtest.py:109
identify_health_threshold_failures	func	scripts/evaluate_rul_backtest.py:94
iforest_scores	func	rust_bridge/ffi.py:65
info	func	core/rul_common.py:23
info	func	utils/logger.py:242
info	func	utils/logger.py:293
inner	func	utils/timer.py:67
insert_many	func	core/sql_protocol.py:114
is_available	func	rust_bridge/schema.py:21
is_ready	func	core/smart_coldstart.py:35
is_sql_healthy	func	utils/sql_io.py:23
IsolationForestDetector	class	core/outliers.py:34
iter_batches	func	utils/sql_io.py:88
jsonl_logger	func	utils/logger.py:453
LearningState	class	core/rul_engine.py:345
list_cached_tables	func	core/output_manager.py:1496
list_versions	func	core/model_persistence.py:1157
llm_tool_call_sequence	async_fn	tools/mcp-grafana/tests/utils.py:102
load_config	func	utils/config.py:14
load_config	func	utils/validators.py:102
load_csv_to_historian	func	scripts/sql/load_historian_from_csv.py:17
load_csv_to_table	func	scripts/sql/load_equipment_data_to_sql.py:30
load_data	func	core/output_manager.py:617
load_forecast_state	func	core/model_persistence.py:199
load_health_timeline	func	core/rul_common.py:99
load_health_timeline	func	core/rul_engine.py:117
load_learning_state	func	core/rul_engine.py:418
load_models	func	core/model_persistence.py:929
load_regime_state	func	core/model_persistence.py:428
load_sensor_hotspots	func	core/rul_engine.py:234
load_with_retry	func	core/smart_coldstart.py:256
log	func	core/acm_main.py:68
log	func	utils/timer.py:73
log_auto_tune_changes	func	core/config_history_writer.py:200
log_performance_report	func	core/sql_performance.py:215
log_report	func	core/sql_performance.py:63
log_test_result	func	tests/test_continuous_learning_architecture.py:47
LogFormat	class	utils/logger.py:35
Logger	class	utils/logger.py:41
LogLevel	class	utils/logger.py:26
mad	func	core/fast_features.py:168
MahalanobisDetector	class	core/correlation.py:29
main	func	core/acm_main.py:734
main	func	scripts/apply_schema_fixes.py:42
main	func	scripts/check_continuous_learning.py:421
main	func	scripts/check_table_data.py:10
main	func	scripts/chunk_replay.py:210
main	func	scripts/debug_sql_status.py:12
main	func	scripts/evaluate_rul_backtest.py:217
main	func	scripts/monitor_adaptive_thresholds.py:143
main	func	scripts/sql/audit_acm_tables.py:49
main	func	scripts/sql/export_schema_doc.py:138
main	func	scripts/sql/load_equipment_data_to_sql.py:145
main	func	scripts/sql/load_historian_from_csv.py:104
main	func	scripts/sql/validate_dual_write.py:50
main	func	scripts/sql_batch_runner.py:943
main	func	scripts/test_model_registry.py:260
main	func	scripts/validate_adaptive_thresholds.py:196
main	func	scripts/validate_all_tables.py:44
main	func	scripts/validate_rul_engine.py:234
main	func	scripts/validate_sql_only_mode.py:142
main	func	tests/test_dual_write.py:149
main	func	tools/truncate_acm_tables.py:4
make_failure_forecast_ts	func	core/rul_engine.py:1325
make_health_forecast_ts	func	core/rul_engine.py:1298
make_rul_summary	func	core/rul_engine.py:1399
make_rul_ts	func	core/rul_engine.py:1351
make_run_paths	func	utils/paths.py:33
make_series	func	tests/test_fast_features.py:9
match_prediction_to_failure	func	scripts/evaluate_rul_backtest.py:159
mcp_client	async_fn	tools/mcp-grafana/tests/conftest.py:97
mcp_transport	func	tools/mcp-grafana/tests/conftest.py:39
mcp_url	func	tools/mcp-grafana/tests/conftest.py:44
melt_scores_long	func	core/output_manager.py:1502
merge_forecast_horizons	func	core/forecasting.py:352
merge_overrides	func	utils/config.py:28
ModelPerformanceMetrics	class	core/rul_engine.py:335
ModelQualityMonitor	class	core/model_evaluation.py:35
ModelType	class	core/omr.py:29
ModelVersionManager	class	core/model_persistence.py:506
norm_cdf	func	core/rul_common.py:27
norm_cdf	func	core/rul_engine.py:57
normalize_index	func	utils/timestamp_utils.py:126
normalize_timestamp_scalar	func	utils/timestamp_utils.py:18
normalize_timestamp_series	func	utils/timestamp_utils.py:48
normalize_timestamps	func	utils/timestamp_utils.py:81
objective	func	core/rul_engine.py:740
ok	func	utils/logger.py:262
ok	func	utils/logger.py:298
ols_slope	func	core/fast_features.py:260
OMRDetector	class	core/omr.py:87
OMRModel	class	core/omr.py:38
optimize_dataframe_for_sql	func	core/sql_performance.py:220
OutputBatch	class	core/output_manager.py:338
OutputManager	class	core/output_manager.py:347
parse_culprits_string	func	core/episode_culprits_writer.py:20
parse_value_type	func	scripts/sql/populate_acm_config.py:25
PCASubspaceDetector	class	core/correlation.py:138
populate_config	func	scripts/sql/populate_acm_config.py:98
predict	func	core/outliers.py:108
predict	func	core/rul_engine.py:530
predict	func	core/rul_engine.py:611
predict	func	core/rul_engine.py:697
predict	func	core/rul_engine.py:776
print_section	func	scripts/check_continuous_learning.py:17
print_status	func	scripts/monitor_adaptive_thresholds.py:105
print_subsection	func	scripts/check_continuous_learning.py:22
process_equipment	func	scripts/sql_batch_runner.py:856
QuickValidationTests	class	tests/test_continuous_learning_quick.py:16
read_table	func	core/simplified_output_manager.py:339
read_threshold_metadata	func	core/output_manager.py:4157
record_operation	func	core/sql_performance.py:31
RegimeState	class	core/model_persistence.py:263
remove_chart_code	func	scripts/remove_chart_code.py:8
remove_csv_files_from_batch	func	scripts/phase2_remove_csv.py:85
remove_csv_methods	func	scripts/phase2_remove_csv.py:8
remove_json_files_field	func	scripts/phase6_remove_filemode_bloat.py:151
remove_json_methods	func	scripts/phase6_remove_filemode_bloat.py:102
remove_rul_import	func	scripts/phase6_remove_filemode_bloat.py:13
remove_schema_descriptor	func	scripts/phase5_remove_schema_helper.py:8
remove_sink	func	utils/logger.py:151
remove_sink	func	utils/logger.py:358
remove_to_naive_functions	func	scripts/phase6_remove_filemode_bloat.py:65
replace_to_naive_calls	func	scripts/phase6_remove_filemode_bloat.py:44
retrieve_cyclic_tags	func	core/historian.py:59
retrieve_full_tags	func	core/historian.py:150
RiverTAD	class	core/river_models.py:26
rollback	func	core/sql_protocol.py:44
rolling_mad	func	core/fast_features.py:148
rolling_mean_std	func	core/fast_features.py:175
rolling_median	func	core/fast_features.py:125
rolling_ols_slope	func	core/fast_features.py:222
rolling_pairwise_lag	func	core/fast_features.py:484
rolling_skew_kurt	func	core/fast_features.py:196
rolling_spectral_energy	func	core/fast_features.py:276
rolling_spectral_energy_pl	func	core/fast_features.py:471
rolling_xcorr	func	core/fast_features.py:417
RULConfig	class	core/rul_common.py:36
RULConfig	class	core/rul_engine.py:37
RULModel	class	core/rul_engine.py:791
RULPrediction	class	scripts/evaluate_rul_backtest.py:38
run	func	core/drift.py:96
run_all	func	tests/test_continuous_learning_quick.py:30
run_all_tests	func	tests/test_continuous_learning_architecture.py:308
run_all_tests	func	tests/test_logger.py:208
run_all_tests	func	tests/test_timer.py:110
run_and_persist_enhanced_forecasting	func	core/forecasting.py:1330
run_enhanced_forecasting_sql	func	core/forecasting.py:738
run_pipeline	func	scripts/validate_sql_only_mode.py:106
run_repair_script	func	scripts/run_sql_repair.py:12
run_rul	func	core/rul_engine.py:1654
run_sql_script	func	scripts/run_missing_tables_creation.py:12
RunPaths	class	utils/paths.py:20
save_forecast_state	func	core/model_persistence.py:137
save_learning_state	func	core/rul_engine.py:447
save_models	func	core/model_persistence.py:577
save_outputs	func	scripts/evaluate_rul_backtest.py:209
save_regime_state	func	core/model_persistence.py:349
score	func	core/correlation.py:106
score	func	core/correlation.py:214
score	func	core/drift.py:54
score	func	core/forecasting.py:631
score	func	core/omr.py:412
score	func	core/outliers.py:82
score	func	core/outliers.py:229
score	func	core/river_models.py:67
score_batch	func	rust_bridge/ffi.py:27
ScoreCalibrator	class	core/fuse.py:396
section	func	core/acm_main.py:63
section	func	utils/timer.py:38
serialize_array	func	core/model_persistence.py:340
serialize_forecast_horizon	func	core/model_persistence.py:121
serialize_value	func	core/config_history_writer.py:52
serialize_value	func	core/config_history_writer.py:136
SeriesSpec	class	rust_bridge/schema.py:15
set_format	func	utils/logger.py:113
set_format	func	utils/logger.py:328
set_level	func	utils/logger.py:98
set_level	func	utils/logger.py:323
set_module_level	func	utils/logger.py:132
set_module_level	func	utils/logger.py:343
set_output	func	utils/logger.py:119
set_output	func	utils/logger.py:333
set_update_callback	func	utils/config_dict.py:398
setup	func	tests/test_continuous_learning_architecture.py:24
should_retrain	func	core/forecasting.py:157
should_retrain	func	core/model_evaluation.py:241
sink	func	tests/test_logger.py:172
sink	func	tests/test_logger.py:191
SmartColdstart	class	core/smart_coldstart.py:44
smooth_failure_probability_hazard	func	core/forecasting.py:432
spectral_energy	func	core/fast_features.py:830
SQLBatchRunner	class	scripts/sql_batch_runner.py:46
SQLBatchWriter	class	core/sql_performance.py:78
SQLClient	class	core/sql_client.py:41
SqlClient	class	core/sql_protocol.py:54
SqlLogSink	class	core/sql_logger.py:11
SQLOutputManager	class	core/simplified_output_manager.py:93
SQLPerformanceMonitor	class	core/sql_performance.py:23
SQLWriteStats	class	core/simplified_output_manager.py:85
start	func	utils/logger.py:418
stop	func	core/acm_main.py:80
stop	func	utils/logger.py:428
StreamingAR	class	core/river_models.py:21
teardown	func	tests/test_continuous_learning_architecture.py:39
test	func	tests/test_continuous_learning_quick.py:21
test_acm_pipeline	func	tests/test_continuous_learning_quick.py:174
test_artifact_cache_clear	func	tests/test_artifact_cache.py:107
test_artifact_cache_list_tables	func	tests/test_artifact_cache.py:84
test_artifact_cache_missing_table	func	tests/test_artifact_cache.py:71
test_artifact_cache_returns_copy	func	tests/test_artifact_cache.py:46
test_artifact_cache_stores_on_write	func	tests/test_artifact_cache.py:18
test_ascii_only_mode	func	tests/test_logger.py:87
test_code_structure	func	tests/test_continuous_learning_quick.py:126
test_config	func	scripts/sql/test_dual_write_config.py:50
test_config_parameters	func	tests/test_continuous_learning_quick.py:58
test_configure_logging_cli_overrides	func	tests/test_acm_logging.py:27
test_configure_logging_config_defaults	func	tests/test_acm_logging.py:59
test_console_basic	func	tests/test_logger.py:16
test_console_with_context	func	tests/test_logger.py:29
test_dashboard_panel_queries_tool	async_fn	tools/mcp-grafana/tests/dashboards_test.py:21
test_dashboard_update_with_patch_operations	async_fn	tools/mcp-grafana/tests/dashboards_test.py:50
test_disable_write_flag_disables_write_tools	async_fn	tools/mcp-grafana/tests/disable_write_test.py:20
test_dual_mode_config	func	tests/test_dual_write.py:56
test_file_output	func	tests/test_logger.py:68
test_func	func	tests/test_timer.py:76
test_generate_dashboard_deeplink	async_fn	tools/mcp-grafana/tests/navigation_test.py:24
test_generate_deeplink_with_query_params	async_fn	tools/mcp-grafana/tests/navigation_test.py:156
test_generate_deeplink_with_time_range	async_fn	tools/mcp-grafana/tests/navigation_test.py:119
test_generate_explore_deeplink	async_fn	tools/mcp-grafana/tests/navigation_test.py:89
test_generate_panel_deeplink	async_fn	tools/mcp-grafana/tests/navigation_test.py:55
test_healthz	async_fn	tools/mcp-grafana/tests/health_test.py:7
test_heartbeat_ascii_spinner	func	tests/test_logger.py:136
test_heartbeat_basic	func	tests/test_logger.py:107
test_heartbeat_disabled	func	tests/test_logger.py:119
test_integration_full_pipeline	func	tests/test_continuous_learning_architecture.py:276
test_json_format	func	tests/test_logger.py:55
test_list_teams_tool	async_fn	tools/mcp-grafana/tests/admin_test.py:79
test_list_users_by_org_tool	async_fn	tools/mcp-grafana/tests/admin_test.py:117
test_llm_can_list_trace_attributes	async_fn	tools/mcp-grafana/tests/tempo_test.py:214
test_log_levels	func	tests/test_logger.py:37
test_log_sinks	func	tests/test_logger.py:168
test_loki_container_labels	async_fn	tools/mcp-grafana/tests/loki_test.py:60
test_loki_logs_tool	async_fn	tools/mcp-grafana/tests/loki_test.py:23
test_manifest_reconstruction	func	scripts/test_model_registry.py:202
test_model_persistence	func	tests/test_continuous_learning_quick.py:94
test_model_save_load	func	scripts/test_model_registry.py:73
test_module_level_overrides	func	tests/test_logger.py:187
test_omr_anomaly_detection	func	tests/test_omr.py:44
test_omr_basic_fit_score	func	tests/test_omr.py:13
test_omr_contribution_tracking	func	tests/test_omr.py:73
test_omr_healthy_regime_filtering	func	tests/test_omr.py:125
test_omr_missing_data_handling	func	tests/test_omr.py:184
test_omr_model_auto_selection	func	tests/test_omr.py:107
test_omr_persistence	func	tests/test_omr.py:151
test_polars_paths	func	tests/test_fast_features.py:37
test_progress_tracking	func	tests/test_progress_tracking.py:11
test_rolling_median_and_mad_pandas	func	tests/test_fast_features.py:15
test_rolling_spectral_energy_pandas	func	tests/test_fast_features.py:26
test_smoothing_commutes_with_dwell_seconds	func	tests/test_regimes_smoothing.py:23
test_smoothing_order_preserves_length_and_labels	func	tests/test_regimes_smoothing.py:7
test_sql_connection	func	scripts/sql/test_dual_write_config.py:73
test_sql_connection	func	tests/test_dual_write.py:31
test_sql_health_check	func	tests/test_dual_write.py:75
test_sql_log_sink_handles_missing_timestamp	func	tests/test_sql_logger.py:64
test_sql_log_sink_writes_records	func	tests/test_sql_logger.py:38
test_sql_migrations	func	tests/test_continuous_learning_quick.py:162
test_sql_only_mode_caches_without_file_write	func	tests/test_artifact_cache.py:131
test_storage_write_functions	func	tests/test_dual_write.py:108
test_task_10_enhanced_logging	func	tests/test_continuous_learning_architecture.py:256
test_task_1_2_retrain_triggers	func	tests/test_continuous_learning_architecture.py:60
test_task_3_refit_mechanism	func	tests/test_continuous_learning_architecture.py:101
test_task_4_joblib_cache_disabled	func	tests/test_continuous_learning_architecture.py:168
test_task_5_temporal_validity	func	tests/test_continuous_learning_architecture.py:184
test_task_6_7_csv_baseline_removed	func	tests/test_continuous_learning_architecture.py:204
test_task_8_models_semantics	func	tests/test_continuous_learning_architecture.py:223
test_task_9_autotune_loop	func	tests/test_continuous_learning_architecture.py:237
test_tempo_tool_call_invalid_datasourceUid	async_fn	tools/mcp-grafana/tests/tempo_test.py:154
test_tempo_tool_call_missing_datasourceUid	async_fn	tools/mcp-grafana/tests/tempo_test.py:139
test_tempo_tool_call_with_valid_datasource	async_fn	tools/mcp-grafana/tests/tempo_test.py:108
test_tempo_tool_works_with_multiple_datasources	async_fn	tools/mcp-grafana/tests/tempo_test.py:175
test_tempo_tools_discovered_and_registered	async_fn	tools/mcp-grafana/tests/tempo_test.py:34
test_tempo_tools_have_datasourceUid_parameter	async_fn	tools/mcp-grafana/tests/tempo_test.py:67
test_timer_basic	func	tests/test_timer.py:15
test_timer_disabled	func	tests/test_timer.py:28
test_timer_env_var	func	tests/test_timer.py:40
test_timer_json_mode	func	tests/test_timer.py:87
test_timer_log	func	tests/test_timer.py:62
test_timer_wrap_decorator	func	tests/test_timer.py:71
test_without_disable_write_flag_enables_write_tools	async_fn	tools/mcp-grafana/tests/disable_write_test.py:72
TestTempoProxiedToolsBasic	class	tools/mcp-grafana/tests/tempo_test.py:20
TestTempoProxiedToolsWithLLM	class	tools/mcp-grafana/tests/tempo_test.py:209
Timer	class	core/acm_main.py:61
Timer	class	utils/timer.py:21
to_dict	func	core/forecasting.py:711
to_dict	func	core/model_persistence.py:98
to_dict	func	core/model_persistence.py:299
to_dict	func	core/omr.py:50
to_dict	func	core/omr.py:546
to_dict	func	utils/config_dict.py:429
to_naive	func	utils/sql_io.py:53
to_sql_dict	func	core/rul_engine.py:358
train_pca	func	rust_bridge/ffi.py:56
transaction	func	core/simplified_output_manager.py:149
transaction	func	core/sql_performance.py:96
transform	func	core/fuse.py:478
tune_detector_weights	func	core/fuse.py:17
update_equipment_config	func	utils/sql_config.py:226
update_models_incremental	func	core/model_persistence.py:1023
update_param	func	utils/config_dict.py:217
validate_config	func	utils/config.py:43
validate_config_handling	func	scripts/validate_rul_engine.py:85
validate_data_structures	func	scripts/validate_rul_engine.py:121
validate_imports	func	scripts/validate_rul_engine.py:34
validate_threshold	func	core/adaptive_thresholds.py:286
validate_with_sql	func	scripts/validate_rul_engine.py:166
version	func	rust_bridge/schema.py:26
warn	func	core/rul_common.py:25
warn	func	utils/logger.py:246
warn	func	utils/logger.py:303
warning	func	utils/logger.py:250
warning	func	utils/logger.py:308
WeibullInspiredModel	class	core/rul_engine.py:712
wrap	func	utils/timer.py:63
write	func	utils/logger.py:459
write_all_analytics	func	core/simplified_output_manager.py:471
write_anomaly_events	func	core/output_manager.py:1612
write_config_change	func	core/config_history_writer.py:19
write_config_changes_bulk	func	core/config_history_writer.py:106
write_dataframe	func	core/output_manager.py:1124
write_drift_ts	func	core/output_manager.py:1573
write_episode_culprits	func	core/episode_culprits_writer.py:69
write_episode_culprits_enhanced	func	core/episode_culprits_writer.py:251
write_episodes	func	core/output_manager.py:1850
write_episodes	func	core/simplified_output_manager.py:405
write_health_timeline	func	core/simplified_output_manager.py:440
write_multiple_tables	func	core/sql_performance.py:188
write_pca_loadings	func	core/output_manager.py:1720
write_pca_metrics	func	core/output_manager.py:1743
write_pca_model	func	core/output_manager.py:1699
write_regime_episodes	func	core/output_manager.py:1659
write_regime_timeline	func	core/simplified_output_manager.py:458
write_retrain_metadata	func	core/run_metadata_writer.py:302
write_run_header	func	utils/paths.py:64
write_run_metadata	func	core/run_metadata_writer.py:19
write_run_stats	func	core/output_manager.py:1790
write_scores	func	core/output_manager.py:1809
write_scores	func	core/simplified_output_manager.py:397
write_scores_ts	func	core/output_manager.py:1522
write_table	func	core/output_manager.py:4053
write_table	func	core/simplified_output_manager.py:193
write_table	func	core/sql_performance.py:126
write_threshold_metadata	func	core/output_manager.py:3992
